SQLDATE,EventCode,QuadClass,GoldsteinScale,AvgTone,NumArticles,ActionGeo_CountryCode,NumMentions,Contains14sub,Contains14
20150911,180,4,-9.0,-4.57142857142857,10,HK,10,1,0
20150914,181,4,-9.0,-5.16431924882629,10,HK,10,1,0
20150915,186,4,-10.0,1.21212121212121,2,HK,2,1,0
20150916,186,4,-10.0,-2.22575516693164,3,HK,3,1,0
20150921,186,4,-10.0,-4.36548223350254,2,HK,2,1,0
20150925,182,4,-9.5,0.0,1,HK,1,1,0
20150928,181,4,-9.0,-3.31753554502369,1,HK,1,1,0
20150929,180,4,-9.0,-4.7008547008547,6,HK,6,1,0
20150930,182,4,-9.5,-9.57446808510638,2,HK,2,1,0
20151002,182,4,-9.5,-3.21402483564645,6,HK,6,1,0
20151003,1822,4,-9.0,-4.95689655172413,10,HK,10,1,0
20151004,180,4,-9.0,-6.25,10,HK,10,1,0
20151006,180,4,-9.0,-5.92885375494071,10,HK,10,1,0
20151007,1822,4,-9.0,-3.34346504559271,10,HK,10,1,0
20151008,181,4,-9.0,-9.61538461538462,8,HK,8,1,0
20151009,186,4,-10.0,0.719424460431655,1,HK,1,1,0
20151012,186,4,-10.0,1.54525386313466,5,HK,5,1,0
20151013,181,4,-9.0,-6.27615062761507,10,HK,10,1,0
20151014,180,4,-9.0,-4.50928381962865,10,HK,10,1,0
20151015,180,4,-9.0,-11.4893617021277,10,HK,10,1,0
20151016,1821,4,-9.0,-7.26643598615917,4,HK,4,1,0
20151019,180,4,-9.0,-10.1818181818181,10,HK,10,1,0
20151020,1821,4,-9.0,-10.8658743633277,5,HK,5,1,0
20151023,182,4,-9.5,-3.65569956796278,20,HK,20,1,1
20151026,182,4,-9.5,-5.91715976331361,3,HK,3,1,0
20151027,181,4,-9.0,-7.23981900452488,1,HK,1,1,0
20151028,181,4,-9.0,-3.91459074733096,6,HK,6,1,0
20151029,181,4,-9.0,-8.5,10,HK,10,1,0
20151030,180,4,-9.0,-3.68663594470046,10,HK,10,1,0
20151031,182,4,-9.5,-11.4754098360656,6,HK,6,1,0
20151102,181,4,-9.0,-2.02020202020202,10,HK,10,1,0
20151104,181,4,-9.0,-3.26086956521739,2,HK,2,1,0
20151106,186,4,-10.0,-0.89552238805971,8,HK,8,1,0
20151108,181,4,-9.0,-7.92079207920792,1,HK,1,1,0
20151109,1821,4,-9.0,-8.12807881773399,3,HK,3,1,0
20151110,1821,4,-9.0,-4.85611510791367,10,HK,10,1,0
20151111,1822,4,-9.0,-8.12641083521445,1,HK,1,1,0
20151112,1822,4,-9.0,-8.09859154929578,2,HK,2,1,0
20151113,180,4,-9.0,-1.12651646447141,2,HK,2,1,0
20151115,1823,4,-10.0,-3.56083086053413,10,HK,10,1,0
20151117,1822,4,-9.0,-8.90688259109312,6,HK,6,1,0
