SQLDATE,EventCode,QuadClass,GoldsteinScale,AvgTone,NumArticles,ActionGeo_CountryCode,Contains14sub,Contains14
20150313,141,3,-6.5,-2.87081339712919,3,YM,1,0
20150313,141,3,-6.5,-4.85074626865672,8,AG,1,0
20150313,141,3,-6.5,0.0,20,LE,1,1
20150314,141,3,-6.5,-1.80995475113122,10,SP,1,0
20150314,141,3,-6.5,-3.15126050420168,3,LE,1,0
20150314,141,3,-6.5,-2.56410256410257,10,FR,1,0
20150314,141,3,-6.5,-0.99009900990099,10,YM,1,0
20150314,141,3,-6.5,-4.54545454545454,10,AG,1,0
20150315,141,3,-6.5,-4.22535211267605,10,YM,1,0
20150315,141,3,-6.5,-5.42635658914729,10,AG,1,0
20150315,141,3,-6.5,0.2302379125096,2,LE,1,0
20150315,141,3,-6.5,-5.6349597502875,2,SP,1,0
20150315,141,3,-6.5,-1.90677966101695,10,FR,1,0
20150316,141,3,-6.5,-3.61702127659575,10,SP,1,0
20150316,141,3,-6.5,2.10526315789474,10,AG,1,0
20150316,141,3,-6.5,-1.78861788617887,6,LE,1,0
20150316,141,3,-6.5,-5.80645161290322,6,YM,1,0
20150316,141,3,-6.5,1.22850122850122,4,FR,1,0
20150317,141,3,-6.5,1.3953488372093,4,AG,1,0
20150317,141,3,-6.5,-8.98876404494382,10,YM,1,0
20150317,141,3,-6.5,-5.0,10,LE,1,0
20150317,141,3,-6.5,2.09617755856967,5,FR,1,0
20150317,141,3,-6.5,-0.53191489361702,4,SP,1,0
20150318,141,3,-6.5,-7.15421303656598,7,YM,1,0
20150318,141,3,-6.5,-3.6818851251841,10,SP,1,0
20150318,141,3,-6.5,-5.76923076923077,6,FR,1,0
20150318,141,3,-6.5,0.0858000858000798,5,LE,1,0
20150318,141,3,-6.5,-0.23980815347722,8,AG,1,0
20150319,141,3,-6.5,-0.63157894736842,10,LE,1,0
20150319,141,3,-6.5,-6.05355064027939,2,AG,1,0
20150319,141,3,-6.5,2.25563909774436,2,SP,1,0
20150319,141,3,-6.5,1.14777618364419,4,FR,1,0
20150319,141,3,-6.5,-2.2875816993464,10,YM,1,0
20150320,141,3,-6.5,-2.68790443006471,2,YM,1,0
20150320,141,3,-6.5,0.35005834305717,10,FR,1,0
20150320,141,3,-6.5,-2.92887029288703,4,SP,1,0
20150320,141,3,-6.5,0.0,5,LE,1,0
20150320,141,3,-6.5,-6.80272108843538,8,AG,1,0
20150321,141,3,-6.5,-1.59453302961276,10,LE,1,0
20150321,141,3,-6.5,0.25773195876289,10,FR,1,0
20150321,141,3,-6.5,1.06382978723405,8,AG,1,0
20150321,141,3,-6.5,-5.60606060606061,6,YM,1,0
20150321,141,3,-6.5,-9.0909090909091,2,SP,1,0
20150322,141,3,-6.5,-1.44927536231884,10,LE,1,0
20150322,141,3,-6.5,-6.0,10,AG,1,0
20150322,141,3,-6.5,-6.40394088669951,10,YM,1,0
20150322,141,3,-6.5,-2.91719514404784,1,FR,1,0
20150322,141,3,-6.5,-6.86274509803921,2,SP,1,0
20150323,141,3,-6.5,-6.23052959501558,10,SP,1,0
20150323,141,3,-6.5,3.81679389312977,10,FR,1,0
20150323,141,3,-6.5,-5.59006211180124,8,YM,1,0
20150323,141,3,-6.5,-3.37837837837838,4,LE,1,0
20150323,141,3,-6.5,-3.0373831775701,10,AG,1,0
20150324,141,3,-6.5,-2.15053763440861,10,FR,1,0
20150324,141,3,-6.5,-3.37837837837838,4,LE,1,0
